IDDataBeerSecond;IDDataBeerRef;Date;Note Sarah;Note Teddy;Analyse;Coordonnées GPS;Pays (ou Région);Bar / Ville;Contexte (terrasse, intérieur, ...);Evenement;Météo;Froid, très chaud ou bien;Température;Photo du moment;Photo de la bière;IBU/DI (proche de 1 = Amer)
efc3eeec;n4j1u6f5;46031.0;2.0;2.0;Douce, pas très forte en tout IPA, légère;47.480808, -3.121195;;;Interieur
